Sample Rate,2400000.0
Center Freq,0
Gain,20
Samples Per Sweep,65536
Number of Sweeps,65536

Time Elapsed, Sample
0.0,(1+0j)
4.16666666667e-07,(0.991444861374+0.13052619222j)
8.33333333333e-07,(0.965925826289+0.258819045103j)
1.25e-06,(0.923879532511+0.382683432365j)
1.66666666667e-06,(0.866025403784+0.5j)
2.08333333333e-06,(0.793353340291+0.608761429009j)
2.5e-06,(0.707106781187+0.707106781187j)
2.91666666667e-06,(0.608761429009+0.793353340291j)
3.33333333333e-06,(0.5+0.866025403784j)
3.75e-06,(0.382683432365+0.923879532511j)
4.16666666667e-06,(0.258819045103+0.965925826289j)
4.58333333333e-06,(0.13052619222+0.991444861374j)
5e-06,(2.83276944882e-16+1j)
5.41666666667e-06,(-0.13052619222+0.991444861374j)
5.83333333333e-06,(-0.258819045103+0.965925826289j)
6.25e-06,(-0.382683432365+0.923879532511j)
6.66666666667e-06,(-0.5+0.866025403784j)
7.08333333333e-06,(-0.608761429009+0.793353340291j)
7.5e-06,(-0.707106781187+0.707106781187j)
7.91666666667e-06,(-0.793353340291+0.608761429009j)
8.33333333333e-06,(-0.866025403784+0.5j)
8.75e-06,(-0.923879532511+0.382683432365j)
9.16666666667e-06,(-0.965925826289+0.258819045103j)
9.58333333333e-06,(-0.991444861374+0.13052619222j)
1e-05,(-1+5.66553889765e-16j)
1.04166666667e-05,(-0.991444861374-0.13052619222j)
1.08333333333e-05,(-0.965925826289-0.258819045103j)
1.125e-05,(-0.923879532511-0.382683432365j)
1.16666666667e-05,(-0.866025403784-0.5j)
1.20833333333e-05,(-0.793353340291-0.608761429009j)
1.25e-05,(-0.707106781187-0.707106781187j)
1.29166666667e-05,(-0.608761429009-0.793353340291j)
1.33333333333e-05,(-0.5-0.866025403784j)
1.375e-05,(-0.382683432365-0.923879532511j)
1.41666666667e-05,(-0.258819045103-0.965925826289j)
1.45833333333e-05,(-0.13052619222-0.991444861374j)
1.5e-05,(-1.83697019872e-16-1j)
1.54166666667e-05,(0.13052619222-0.991444861374j)
1.58333333333e-05,(0.258819045103-0.965925826289j)
1.625e-05,(0.382683432365-0.923879532511j)
1.66666666667e-05,(0.5-0.866025403784j)
1.70833333333e-05,(0.608761429009-0.793353340291j)
1.75e-05,(0.707106781187-0.707106781187j)
1.79166666667e-05,(0.793353340291-0.608761429009j)
1.83333333333e-05,(0.866025403784-0.5j)
1.875e-05,(0.923879532511-0.382683432365j)
1.91666666667e-05,(0.965925826289-0.258819045103j)
1.95833333333e-05,(0.991444861374-0.13052619222j)
2e-05,(1-1.13310777953e-15j)
2.04166666667e-05,(0.991444861374+0.13052619222j)
2.08333333333e-05,(0.965925826289+0.258819045103j)
2.125e-05,(0.923879532511+0.382683432365j)
2.16666666667e-05,(0.866025403784+0.5j)
2.20833333333e-05,(0.793353340291+0.608761429009j)
2.25e-05,(0.707106781187+0.707106781187j)
2.29166666667e-05,(0.608761429009+0.793353340291j)
2.33333333333e-05,(0.5+0.866025403784j)
2.375e-05,(0.382683432365+0.923879532511j)
2.41666666667e-05,(0.258819045103+0.965925826289j)
2.45833333333e-05,(0.13052619222+0.991444861374j)
2.5e-05,(3.06161699787e-16+1j)
2.54166666667e-05,(-0.13052619222+0.991444861374j)
2.58333333333e-05,(-0.258819045103+0.965925826289j)
2.625e-05,(-0.382683432365+0.923879532511j)
2.66666666667e-05,(-0.5+0.866025403784j)
2.70833333333e-05,(-0.608761429009+0.793353340291j)
2.75e-05,(-0.707106781187+0.707106781187j)
2.79166666667e-05,(-0.793353340291+0.608761429009j)
2.83333333333e-05,(-0.866025403784+0.5j)
2.875e-05,(-0.923879532511+0.382683432365j)
2.91666666667e-05,(-0.965925826289+0.258819045103j)
2.95833333333e-05,(-0.991444861374+0.13052619222j)
3e-05,(-1+3.67394039744e-16j)
3.04166666667e-05,(-0.991444861374-0.13052619222j)
3.08333333333e-05,(-0.965925826289-0.258819045103j)
3.125e-05,(-0.923879532511-0.382683432365j)
3.16666666667e-05,(-0.866025403784-0.5j)
3.20833333333e-05,(-0.793353340291-0.608761429009j)
3.25e-05,(-0.707106781187-0.707106781187j)
3.29166666667e-05,(-0.608761429009-0.793353340291j)
3.33333333333e-05,(-0.5-0.866025403784j)
3.375e-05,(-0.382683432365-0.923879532511j)
3.41666666667e-05,(-0.258819045103-0.965925826289j)
3.45833333333e-05,(-0.13052619222-0.991444861374j)
3.5e-05,(-2.2049832191e-15-1j)
3.54166666667e-05,(0.13052619222-0.991444861374j)
3.58333333333e-05,(0.258819045103-0.965925826289j)
3.625e-05,(0.382683432365-0.923879532511j)
3.66666666667e-05,(0.5-0.866025403784j)
3.70833333333e-05,(0.608761429009-0.793353340291j)
3.75e-05,(0.707106781187-0.707106781187j)
3.79166666667e-05,(0.793353340291-0.608761429009j)
3.83333333333e-05,(0.866025403784-0.5j)
3.875e-05,(0.923879532511-0.382683432365j)
3.91666666667e-05,(0.965925826289-0.258819045103j)
3.95833333333e-05,(0.991444861374-0.13052619222j)
4e-05,(1-2.26621555906e-15j)
4.04166666667e-05,(0.991444861374+0.13052619222j)
4.08333333333e-05,(0.965925826289+0.258819045103j)
4.125e-05,(0.923879532511+0.382683432365j)
4.16666666667e-05,(0.866025403784+0.5j)
4.20833333333e-05,(0.793353340291+0.608761429009j)
4.25e-05,(0.707106781187+0.707106781187j)
4.29166666667e-05,(0.608761429009+0.793353340291j)
4.33333333333e-05,(0.5+0.866025403784j)
4.375e-05,(0.382683432365+0.923879532511j)
4.41666666667e-05,(0.258819045103+0.965925826289j)
4.45833333333e-05,(0.13052619222+0.991444861374j)
4.5e-05,(5.51091059616e-16+1j)
4.54166666667e-05,(-0.13052619222+0.991444861374j)
4.58333333333e-05,(-0.258819045103+0.965925826289j)
4.625e-05,(-0.382683432365+0.923879532511j)
4.66666666667e-05,(-0.5+0.866025403784j)
4.70833333333e-05,(-0.608761429009+0.793353340291j)
4.75e-05,(-0.707106781187+0.707106781187j)
4.79166666667e-05,(-0.793353340291+0.608761429009j)
4.83333333333e-05,(-0.866025403784+0.5j)
4.875e-05,(-0.923879532511+0.382683432365j)
4.91666666667e-05,(-0.965925826289+0.258819045103j)
4.95833333333e-05,(-0.991444861374+0.13052619222j)
5e-05,(-1+6.12323399574e-16j)
5.04166666667e-05,(-0.991444861374-0.13052619222j)
5.08333333333e-05,(-0.965925826289-0.258819045103j)
5.125e-05,(-0.923879532511-0.382683432365j)
5.16666666667e-05,(-0.866025403784-0.5j)
5.20833333333e-05,(-0.793353340291-0.608761429009j)
5.25e-05,(-0.707106781187-0.707106781187j)
5.29166666667e-05,(-0.608761429009-0.793353340291j)
5.33333333333e-05,(-0.5-0.866025403784j)
5.375e-05,(-0.382683432365-0.923879532511j)
5.41666666667e-05,(-0.258819045103-0.965925826289j)
5.45833333333e-05,(-0.13052619222-0.991444861374j)
5.5e-05,(-2.44991257893e-15-1j)
5.54166666667e-05,(0.13052619222-0.991444861374j)
5.58333333333e-05,(0.258819045103-0.965925826289j)
5.625e-05,(0.382683432365-0.923879532511j)
5.66666666667e-05,(0.5-0.866025403784j)
5.70833333333e-05,(0.608761429009-0.793353340291j)
5.75e-05,(0.707106781187-0.707106781187j)
5.79166666667e-05,(0.793353340291-0.608761429009j)
5.83333333333e-05,(0.866025403784-0.5j)
5.875e-05,(0.923879532511-0.382683432365j)
5.91666666667e-05,(0.965925826289-0.258819045103j)
5.95833333333e-05,(0.991444861374-0.13052619222j)
6e-05,(1-7.34788079488e-16j)
6.04166666667e-05,(0.991444861374+0.13052619222j)
6.08333333333e-05,(0.965925826289+0.258819045103j)
6.125e-05,(0.923879532511+0.382683432365j)
6.16666666667e-05,(0.866025403784+0.5j)
6.20833333333e-05,(0.793353340291+0.608761429009j)
6.25e-05,(0.707106781187+0.707106781187j)
6.29166666667e-05,(0.608761429009+0.793353340291j)
6.33333333333e-05,(0.5+0.866025403784j)
6.375e-05,(0.382683432365+0.923879532511j)
6.41666666667e-05,(0.258819045103+0.965925826289j)
6.45833333333e-05,(0.13052619222+0.991444861374j)
6.5e-05,(-9.80336419954e-16+1j)
6.54166666667e-05,(-0.13052619222+0.991444861374j)
6.58333333333e-05,(-0.258819045103+0.965925826289j)
6.625e-05,(-0.382683432365+0.923879532511j)
6.66666666667e-05,(-0.5+0.866025403784j)
6.70833333333e-05,(-0.608761429009+0.793353340291j)
