Sample Rate,2400000.0
Center Freq,901000000.0
Gain,19.7
Samples Per Sweep,256
Number of Sweeps,256

Time Elapsed, Sample
0.0,(-0.00392156862745+0.00392156862745j)
4.16666666667e-07,(0.0117647058824-0.0117647058824j)
8.33333333333e-07,(0.00392156862745+0.00392156862745j)
1.25e-06,(0.00392156862745+0.00392156862745j)
1.66666666667e-06,(0.0117647058824+0.00392156862745j)
2.08333333333e-06,(0.00392156862745+0.00392156862745j)
2.5e-06,(-0.00392156862745+0.0196078431373j)
2.91666666667e-06,(0.00392156862745-0.00392156862745j)
3.33333333333e-06,(-0.00392156862745-0.0117647058824j)
3.75e-06,(0.00392156862745+0.00392156862745j)
4.16666666667e-06,(0.00392156862745-0.00392156862745j)
4.58333333333e-06,(0.0117647058824-0.00392156862745j)
5e-06,(0.00392156862745-0.00392156862745j)
5.41666666667e-06,(0.00392156862745-0.0117647058824j)
5.83333333333e-06,(0.00392156862745+0.00392156862745j)
6.25e-06,(0.00392156862745+0.00392156862745j)
6.66666666667e-06,(0.00392156862745-0.0117647058824j)
7.08333333333e-06,(-0.00392156862745+0.00392156862745j)
7.5e-06,(-0.00392156862745+0.0196078431373j)
7.91666666667e-06,(0.00392156862745-0.00392156862745j)
8.33333333333e-06,(0.0117647058824-0.00392156862745j)
8.75e-06,(-0.0117647058824+0.0117647058824j)
9.16666666667e-06,(-0.00392156862745+0.00392156862745j)
9.58333333333e-06,(0.00392156862745-0.00392156862745j)
1e-05,(-0.00392156862745-0.00392156862745j)
1.04166666667e-05,(-0.00392156862745+0.00392156862745j)
1.08333333333e-05,(-0.00392156862745+0.00392156862745j)
1.125e-05,(0.0117647058824-0.00392156862745j)
1.16666666667e-05,(0.0196078431373+0.00392156862745j)
1.20833333333e-05,(0.00392156862745+0.00392156862745j)
1.25e-05,(-0.0117647058824-0.00392156862745j)
1.29166666667e-05,(-0.00392156862745+0.00392156862745j)
1.33333333333e-05,(0.00392156862745+0.00392156862745j)
1.375e-05,(-0.0117647058824-0.00392156862745j)
1.41666666667e-05,(-0.0117647058824-0.00392156862745j)
